source_name,canonical_name
AC Milan,Milan
Arminia Bielefeld,Bielefeld
Athletic Club,Ath Bilbao
Athletic Bilbao,Ath Bilbao
Atletico Madrid,Ath Madrid
Bayer Leverkusen,Leverkusen
Borussia Dortmund,Dortmund
Borussia M.Gladbach,M'gladbach
Celta Vigo,Celta
Clermont Foot,Clermont
Deportivo La Coruna,La Coruna
Eintracht Frankfurt,Ein Frankfurt
Espanyol,Espanol
FC Cologne,FC Koln
FC Heidenheim,Heidenheim
Fortuna Duesseldorf,Fortuna Dusseldorf
GFC Ajaccio,Ajaccio GFCO
Greuther Fuerth,Greuther Furth
Hamburger SV,Hamburg
Hannover 96,Hannover
Hertha Berlin,Hertha
Mainz 05,Mainz
Manchester City,Man City
Manchester United,Man United
Newcastle United,Newcastle
Nottingham Forest,Nott'm Forest
Nuernberg,Nurnberg
Paris Saint Germain,Paris SG
Parma Calcio 1913,Parma
Queens Park Rangers,QPR
RasenBallsport Leipzig,RB Leipzig
Rayo Vallecano,Vallecano
Real Betis,Betis
Real Oviedo,Oviedo
Real Sociedad,Sociedad
Real Valladolid,Valladolid
SC Bastia,Bastia
SD Huesca,Huesca
SPAL 2013,Spal
Saint-Etienne,St Etienne
Sporting Gijon,Sp Gijon
St. Pauli,St Pauli
VfB Stuttgart,Stuttgart
West Bromwich Albion,West Brom
Wolverhampton Wanderers,Wolves
